phase_data,a_data1,a_data2,a_data3,a_data4,a_data5,a_data6,a_data7,a_data8,a_data9,a_data10,a_data11,a_data12,a_data13,a_data14,a_data15
0.005719020678,0.0076712,2.8359e-05,2.4144e-05,8.4269e-05,1.1051e-05,-6.6035e-05,3.0542e-05,3.8715e-06,2.887e-05,2.524e-05,-3.3714e-05,-1.4233e-05,1.2525e-05,3.5586e-06,-1.5594e-05
0.005980139346,0.007842,1.4481e-05,-3.8706e-06,7.0355e-05,-2.9586e-05,-1.3986e-05,2.532e-05,4.1327e-05,1.5033e-05,3.1993e-05,-1.4471e-05,3.5502e-05,2.1818e-06,-1.5503e-05,-8.9336e-06
0.006241258014,0.0081047,1.3233e-05,0.0001052,2.5259e-05,-1.4757e-05,-5.4507e-05,2.3839e-05,3.4029e-05,1.5968e-05,1.6651e-05,-1.1457e-05,3.5665e-05,1.2627e-05,1.2876e-06,2.9384e-06
0.006483153411,0.0083385,0.00015376,6.2031e-05,6.8448e-05,4.2184e-05,-9.0495e-05,6.4825e-05,3.6152e-05,2.9457e-05,3.8717e-06,1.675e-05,-2.8035e-05,1.5523e-05,-7.9534e-06,-4.1131e-06
0.006725048807,0.0085128,0.00014574,4.0858e-05,4.4486e-05,9.5264e-06,-6.4442e-05,8.4172e-05,3.3868e-05,5.603e-06,2.3596e-05,3.444e-06,-4.7433e-05,-4.3195e-06,-1.7304e-06,5.0105e-07
0.006946111304,0.008801,0.00028606,0.00018219,6.2024e-05,1.1869e-05,-4.1673e-05,5.2712e-05,4.1325e-05,1.5808e-05,3.1398e-05,-6.7901e-06,-2.3699e-05,-1.476e-05,7.9135e-08,2.6189e-06
0.0071671738,0.0090408,0.00033068,0.00011383,5.5392e-05,5.7117e-05,-1.7052e-05,-4.1998e-06,2.378e-05,4.8441e-05,6.6774e-06,-3.7521e-05,-1.139e-05,-6.8355e-06,-3.7888e-06,-1.8365e-05
0.007377030411,0.0093077,0.00036436,0.00016948,8.0725e-05,5.4457e-05,3.1647e-05,-4.4919e-05,1.4175e-05,5.1284e-05,-1.0712e-06,-6.6687e-06,-3.983e-05,1.6033e-05,1.5405e-05,-3.4718e-05
0.007586887021,0.009499,0.00049537,0.0003449,0.00021199,0.00011976,5.4649e-05,-3.3426e-05,-2.8817e-05,3.7298e-05,1.0805e-05,-1.1408e-05,-4.9719e-05,1.0342e-05,6.8359e-06,-5.9887e-06
0.007788726246,0.009643,0.00059577,0.00040917,0.00026487,0.00016769,0.00010473,-2.5815e-05,-4.8634e-05,-1.21e-06,-1.4587e-06,-9.6717e-07,-2.8918e-05,-5.5844e-06,-3.6327e-06,2.2005e-06
0.007990565471,0.0098132,0.0007197,0.00056476,0.00020596,0.00019217,0.00015479,1.4472e-05,-1.8161e-05,-1.1569e-05,-2.5689e-05,1.1409e-05,4.3438e-07,6.5127e-06,3.0709e-05,1.5609e-05
0.008192414948,0.0099191,0.00085664,0.00068149,0.00029331,0.00020624,0.00016856,4.72e-05,1.665e-07,-5.2762e-05,-4.9968e-05,-2.4389e-05,3.423e-05,-6.1273e-06,2.0486e-05,8.2633e-06
