case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px,rel_err_max,selection
7.0,2.0,12.0,1.0,510.0,0.0068398381117731,2.406995606766291e-18,9.79871106739712e-13,1.7492321966033745e-07,6.584828168916073e-08,1.7492321966033745e-07,min_error
7.0,3.0,12.0,2.0,270.0,0.0041331339161843,9.973391765443973e-14,2.8012797811730446e-09,0.0072479475809643,0.0001882486980706,0.0072479475809643,min_steps_under_1pct
7.0,3.0,12.0,1.0,510.0,0.0069504459388554,6.5917181761974294e-18,8.579834959225553e-13,4.790389160797405e-07,5.7657316901749224e-08,4.790389160797405e-07,min_error
7.0,4.0,12.0,1.0,40.0,0.0081367988605052,8.340961898619272e-14,2.4814442266461152e-09,0.0060616143472352,0.0001667554409026,0.0060616143472352,min_steps_under_1pct
7.0,4.0,8.0,2.0,220.0,0.0024594839196652,1.59473218035635e-18,4.723850942302179e-13,1.1589372523145117e-07,3.1744733094671094e-08,1.1589372523145117e-07,min_error
8.0,2.0,12.0,2.0,260.0,0.0039440260734409,1.378110131858684e-13,4.565375931273125e-09,0.0081553603858358,0.0003086662877643,0.0081553603858358,min_steps_under_1pct
8.0,2.0,12.0,1.0,520.0,0.0069849588908255,7.042209140462491e-18,1.3209760654173685e-12,4.167428431531777e-07,8.931154508983129e-08,4.167428431531777e-07,min_error
8.0,3.0,8.0,1.0,210.0,0.0003372230567038,1.565890290972264e-13,4.976639935185803e-09,0.0092666031199817,0.0003364719570651,0.0092666031199817,min_steps_under_1pct
8.0,3.0,12.0,1.0,520.0,0.007088178070262,3.8133028306646115e-18,1.2107941551638005e-12,2.2566308835168498e-07,8.186211666844189e-08,2.2566308835168498e-07,min_error
8.0,4.0,10.0,1.0,40.0,0.0027237699832767,1.608903491744038e-13,5.451603018353593e-09,0.0095211460229999,0.0003685843381512,0.0095211460229999,min_steps_under_1pct
8.0,4.0,6.0,2.0,350.0,0.0013069361448287,1.0113227719193178e-18,5.351357140889138e-13,5.984791404356534e-08,3.6180668756424766e-08,5.984791404356534e-08,min_error
9.0,2.0,8.0,1.0,120.0,0.0001970119774341,2.848739072866377e-13,2.3396797930295213e-08,0.0097129679124552,0.0032913141095902,0.0097129679124552,min_steps_under_1pct
9.0,2.0,12.0,1.0,280.0,0.0036850098986178,1.1767138324735848e-18,3.276719639640712e-13,4.01208513823557e-08,4.609482722914101e-08,4.609482722914101e-08,min_error
9.0,3.0,12.0,1.0,120.0,0.0016439049504697,2.505532673233563e-13,1.9946829465486058e-08,0.008542782556157,0.002805994284215,0.008542782556157,min_steps_under_1pct
9.0,3.0,12.0,1.0,290.0,0.0038883828092366,1.4673804145220305e-18,3.04176649823908e-13,5.003132444586053e-08,4.2789654479897286e-08,5.003132444586053e-08,min_error
9.0,4.0,12.0,1.0,20.0,0.0040556059684604,2.873002655387077e-13,3.4177337771724823e-08,0.0097956962327529,0.0048078525262917,0.0097956962327529,min_steps_under_1pct
9.0,4.0,12.0,1.0,570.0,0.106380257057026,1.0629281960696493e-17,4.4428955855307673e-13,3.624125340226521e-07,6.249985562835928e-08,3.624125340226521e-07,min_error
10.0,2.0,8.0,1.0,130.0,0.0002135068643838,5.1053876813901354e-14,2.1671756688588422e-08,0.0010073536374773,0.0067843092817442,0.0067843092817442,min_steps_under_1pct
10.0,2.0,12.0,1.0,260.0,0.0034275939688086,3.809287353466806e-18,3.0869980406818005e-13,7.516176461385941e-08,9.663798722487454e-08,9.663798722487454e-08,min_error
10.0,3.0,8.0,1.0,130.0,0.0002172838430851,5.5236401475471324e-14,2.343344553625883e-08,0.0010898798175563,0.007335803199498,0.007335803199498,min_steps_under_1pct
10.0,3.0,12.0,1.0,270.0,0.00361218303442,3.7029344673641794e-18,2.4666989786276496e-13,7.306329583229708e-08,7.72196228318893e-08,7.72196228318893e-08,min_error
10.0,4.0,8.0,1.0,30.0,0.000687712104991,2.7410910704938812e-14,1.6127710796161082e-08,0.000540849830187,0.0050487544512391,0.0050487544512391,min_steps_under_1pct
10.0,4.0,10.0,1.0,300.0,0.0191694879904389,7.15208762220101e-18,4.401408571612917e-12,1.411191848964445e-07,1.377854017753248e-06,1.377854017753248e-06,min_error
11.0,2.0,12.0,1.0,110.0,0.0015011948999017,1.0774814935010986e-13,6.394091274229785e-09,0.0079211527526701,0.0009808050733804,0.0079211527526701,min_steps_under_1pct
11.0,2.0,12.0,1.0,250.0,0.003264534054324,3.500487828555507e-19,2.0634140944687405e-13,2.5733990760949092e-08,3.1651206176806206e-08,3.1651206176806206e-08,min_error
11.0,3.0,8.0,2.0,60.0,0.0001233119983226,8.256449425501596e-14,5.3255491928927895e-08,0.0060697652338868,0.008168988278253,0.008168988278253,min_steps_under_1pct
11.0,3.0,12.0,1.0,260.0,0.003432905068621,1.090756502858956e-18,2.913173598428605e-13,8.01874456983915e-08,4.468587204083823e-08,8.01874456983915e-08,min_error
11.0,4.0,10.0,1.0,30.0,0.0020102190319448,8.695939345510215e-14,1.565880171872319e-09,0.0063928581882108,0.0002401941340856,0.0063928581882108,min_steps_under_1pct
11.0,4.0,10.0,1.0,580.0,0.0363657800480723,5.256178337810423e-18,8.564854368401731e-14,3.8641027024776397e-07,1.3137836569755452e-08,3.8641027024776397e-07,min_error
12.0,2.0,6.0,1.0,70.0,5.2753835916519165e-05,1.54017332632065e-13,1.4378787919374268e-08,0.0035038516959781,0.0041061041191347,0.0041061041191347,min_steps_under_1pct
12.0,2.0,12.0,1.0,240.0,0.0031482258345931,3.9232466241286043e-19,3.7912737998937334e-13,8.92527750141776e-09,1.082661838661343e-07,1.082661838661343e-07,min_error
12.0,3.0,12.0,1.0,110.0,0.0015224588569253,1.0103477533313281e-13,3.2338961155979714e-08,0.0022985131793541,0.0092349328994682,0.0092349328994682,min_steps_under_1pct
12.0,3.0,12.0,1.0,250.0,0.0033252749126404,1.857782056494116e-18,6.839834713626906e-14,4.226402767898237e-08,1.9532295524007133e-08,4.226402767898237e-08,min_error
12.0,4.0,12.0,1.0,30.0,0.005975545849651,4.7761077803337726e-14,1.7994054056609653e-08,0.0010865513030455,0.0051385040168944,0.0051385040168944,min_steps_under_1pct
12.0,4.0,12.0,1.0,280.0,0.0529404699336737,4.111818070718826e-18,1.7677021146667385e-12,9.354272324050237e-08,5.047969950691187e-07,5.047969950691187e-07,min_error
