case,method,order,variant,n_steps,runtime_s,abs_err_x,abs_err_px,rel_err_x,rel_err_px
0,2,2,2,460,4.6549830585718155e-05,1.4562834873746597e-11,4.980226760313675e-06,0.15099140469974262,0.4414026878699335
0,2,2,2,470,4.588998854160309e-05,1.3824127283201253e-11,4.808233691770564e-06,0.14333228491119915,0.4261587629637621
0,2,2,2,480,4.600081592798233e-05,1.3140444609722317e-11,4.643881481221877e-06,0.13624367832241194,0.41159205526449527
0,2,2,2,490,4.592095501720905e-05,1.2506512168648524e-11,4.486836295231603e-06,0.12967089557837172,0.3976729767667977
0,2,2,2,500,4.728417843580246e-05,1.1917661620652002e-11,4.336767068870638e-06,0.12356553407623078,0.384372184840986
0,2,2,2,510,4.637404344975948e-05,1.1369750416581785e-11,4.193348569699189e-06,0.1178846427476865,0.371660853796983
0,2,2,2,520,4.916801117360592e-05,1.085909394352835e-11,4.0562638346737126e-06,0.1125900185310543,0.3595108908699191
0,2,2,2,530,5.047791637480259e-05,1.0382407229169633e-11,3.925205853486969e-06,0.10764760194618436,0.34789508541631514
0,2,2,2,540,4.960782825946808e-05,9.936754915662566e-12,3.7998787088564156e-06,0.10302695841025923,0.33678720997903167
0,2,2,2,550,4.9717025831341743e-05,9.519508302900393e-12,3.6799983156992014e-06,0.09870083285068527,0.32616208580111855
0,2,2,2,560,5.046813748776913e-05,9.12830828788238e-12,3.5652928271409436e-06,0.09464476545046943,0.31599561881079624
0,2,2,2,570,5.150400102138519e-05,8.76103334299985e-12,3.4555027931842064e-06,0.09083675963844123,0.3062648136844082
0,2,2,2,580,5.121994763612747e-05,8.415771767866803e-12,3.3503811270674246e-06,0.08725699438873938,0.2969477708647775
0,2,2,2,590,5.1924027502536774e-05,8.090797588927945e-12,3.2496929277382534e-06,0.08388757434143922,0.28802367082683455
0,2,2,2,600,5.207606591284275e-05,7.784549581351317e-12,3.153215197028681e-06,0.08071231229587048,0.2794727490105527
0,2,4,1,10,1.9330065697431564e-05,,,,
0,2,4,1,20,2.222997136414051e-05,,,,
0,2,4,1,30,2.2246968001127243e-05,,,,
0,2,4,1,40,2.3654894903302193e-05,,,,
0,2,4,1,50,2.4643028154969215e-05,,,,
0,2,4,1,60,2.3612985387444496e-05,,,,
0,2,4,1,70,2.5212997570633888e-05,,,,
0,2,4,1,80,2.7006957679986954e-05,,,,
0,2,4,1,90,2.6911962777376175e-05,,,,
0,2,4,1,100,2.8382986783981323e-05,,,,
0,2,4,1,110,2.987612970173359e-05,,,,
0,2,4,1,120,2.9514078050851822e-05,,,,
0,2,4,1,130,3.262399695813656e-05,,,,
0,2,4,1,140,3.221305087208748e-05,,,,
0,2,4,1,150,3.410782665014267e-05,,,,
0,2,4,1,160,4.369998350739479e-05,2.0419965736761634e-10,1.0734199247965782e-05,2.1171971921982147,0.9513832659067696
0,2,4,1,170,4.506716504693031e-05,8.78145233188684e-12,5.801290405537714e-06,0.09104846922941882,0.5141744144110257
0,2,4,1,180,4.8023881390690804e-05,1.4617250020921788e-10,8.567650722902962e-06,1.5155559564059695,0.7593598122793015
0,2,4,1,190,4.7495122998952866e-05,1.993582761524256e-10,1.5399447898794825e-05,2.0670004443324244,1.3648691156811723
0,2,4,1,200,5.057919770479202e-05,1.502851485833628e-10,3.0821669854048906e-05,1.5581970053797325,2.7317567197201287
0,2,4,1,210,5.163298919796944e-05,1.0339920739272978e-10,3.279796724490085e-05,1.072070905453566,2.906918017053795
0,2,4,1,220,5.2233925089240074e-05,6.324441481823337e-11,3.246036293736657e-05,0.6557351721424484,2.876995795445413
0,2,4,1,230,5.3032999858260155e-05,3.69453308891043e-11,3.091442734080613e-05,0.3830591678340909,2.7399779124378916
0,2,4,1,240,5.545094609260559e-05,1.9102810263006636e-11,2.8490139946459376e-05,0.19806309556691204,2.525110794225295
0,2,4,1,250,5.732499994337559e-05,6.5699124334156645e-12,2.5309216355654398e-05,0.06811862633037756,2.243182221398269
0,2,4,1,260,5.817296914756298e-05,9.833565687814395e-13,2.2054897402175814e-05,0.010195706462942914,1.9547485410890932
0,2,4,1,270,6.103096529841423e-05,5.4485995761488e-12,1.8975633377650394e-05,0.05649255181298879,1.6818301615651252
0,2,4,1,280,6.0924096032977104e-05,7.930984423791955e-12,1.6191138705756924e-05,0.08223058828737796,1.4350374969564412
0,2,4,1,290,6.16100151091814e-05,9.103003194236026e-12,1.3804691227198247e-05,0.09438239540584235,1.2235241699147064
0,2,4,1,300,6.400281563401222e-05,9.480920386216086e-12,1.1781669030084275e-05,0.09830074290974226,1.0442216043081551
0,2,4,1,310,6.481213495135307e-05,9.383227445937934e-12,1.0094869449787576e-05,0.09728783612272386,0.8947187996218191
0,2,4,1,320,6.623798981308937e-05,9.01593841120789e-12,8.683846752085493e-06,0.09347968422335165,0.7696583874385081
0,2,4,1,330,6.828107871115208e-05,8.505171386115789e-12,7.505158216342555e-06,0.08818391377332774,0.6651899941548176
0,2,4,1,340,6.984081119298935e-05,7.931606743833482e-12,6.521763934803524e-06,0.08223704066962755,0.5780307341455584
0,2,4,1,350,7.30419997125864e-05,7.340719467411426e-12,5.694741090085254e-06,0.07611056181714722,0.5047308375429606
0,2,4,1,360,7.262802682816982e-05,6.760996972928406e-12,4.9966277099604525e-06,0.07009984243888717,0.4428563211292454
0,2,4,1,370,7.442990317940712e-05,6.208886905867707e-12,4.405049892088819e-06,0.06437541616494447,0.39042416262320934
0,2,4,1,380,7.686903700232506e-05,5.691747998196962e-12,3.900398390335435e-06,0.059013580315602894,0.3456963741042961
0,2,4,1,390,7.750210352241993e-05,5.21320202225779e-12,3.4678628602071765e-06,0.0540518864045687,0.30736029930559866
0,2,4,1,400,7.893401198089123e-05,4.773796757478646e-12,3.0952826042146456e-06,0.049496013956885285,0.2743381229354583
0,2,4,1,410,8.117896504700184e-05,4.372371076004029e-12,2.7727696218193788e-06,0.04533392408538143,0.2457534612014506
0,2,4,1,420,8.200900629162788e-05,4.0068721554115964e-12,2.492320942100318e-06,0.04154433257281263,0.2208970024506104
0,2,4,1,430,8.326908573508263e-05,3.674750869841781e-12,2.2473709065831034e-06,0.03810080939386929,0.19918682553000683
0,2,4,1,440,8.54278914630413e-05,3.3733294574965745e-12,2.0325588441512123e-06,0.03497559079109362,0.18014780857200216
0,2,4,1,450,8.623185567557812e-05,3.0999051146719298e-12,1.8434419029461178e-06,0.0321406533657834,0.16338617698629274
0,2,4,1,460,8.73710960149765e-05,2.8518809767449435e-12,1.6763345788058064e-06,0.02956907212423879,0.1485752806981808
0,2,4,1,470,9.033782407641411e-05,2.6268282992056637e-12,1.52816896077044e-06,0.0272356651874923,0.13544320756209705
0,2,4,1,480,9.075598791241646e-05,2.422498487680018e-12,1.396370117686348e-06,0.02511711852183519,0.12376173874644784
0,2,4,1,490,9.212782606482506e-05,2.2368380481965383e-12,1.2787702029539171e-06,0.02319214094722028,0.11333873574790555
0,2,4,1,500,9.37189906835556e-05,2.0679852484660623e-12,1.1735354813603796e-06,0.021441429520508228,0.10401167270355013
0,2,4,1,510,9.512016549706459e-05,1.9142601104422602e-12,1.0791074273172785e-06,0.019847565775632563,0.09564241586627173
0,2,4,1,520,9.802589192986488e-05,1.7741525395415859e-12,9.941561443018282e-07,0.018394892644146385,0.08811309512131484
0,2,4,1,530,9.899400174617767e-05,1.646308218331754e-12,9.175421561779414e-07,0.017069368197175066,0.08132271751124215
0,2,4,1,540,0.00010043592192232609,1.5295144986959184e-12,8.482854625551098e-07,0.01585841937156459,0.07518442458014338
0,2,4,1,550,0.00010181497782468796,1.4226865207280765e-12,7.855401346201971e-07,0.014750798046840484,0.06962324077573234
0,2,4,1,560,0.00010637100785970688,1.3248541107203212e-12,7.285734263504083e-07,0.013736445200001415,0.0645742220543833
0,2,4,1,570,0.00010303407907485962,1.2351497089929673e-12,6.767485531173302e-07,0.01280636573800182,0.05998092953086006
0,2,4,1,580,0.0001052620355039835,1.1527972968223725e-12,6.295103740596703e-07,0.011952513689149243,0.05579416049209063
0,2,4,1,590,0.00010608113370835781,1.0771023974638954e-12,5.86373470969046e-07,0.01116768853101012,0.05197089181639138
0,2,4,1,600,0.00010955310426652431,1.0074430994136765e-12,5.469121772240625e-07,0.010445442117163731,0.048473396227503046
0,2,4,2,10,2.0463019609451294e-05,,,,
0,2,4,2,20,2.1409010514616966e-05,,,,
0,2,4,2,30,2.1236948668956757e-05,,,,
0,2,4,2,40,2.2124033421278e-05,,,,
0,2,4,2,50,2.1276995539665222e-05,,,,
0,2,4,2,60,2.515595406293869e-05,,,,
0,2,4,2,70,2.5464920327067375e-05,,,,
0,2,4,2,80,2.680392935872078e-05,,,,
0,2,4,2,90,3.5329023376107216e-05,6.430466376058915e-11,9.180400990979821e-06,0.6667281194995812,0.8136685071117257
0,2,4,2,100,3.728107549250126e-05,6.0970453477152e-11,9.221393997162758e-06,0.6321581268693631,0.8173017599702517
0,2,4,2,110,3.7326011806726456e-05,1.308205216210614e-10,3.159905570728122e-05,1.3563824965650588,2.8006572380385344
0,2,4,2,120,3.9489008486270905e-05,3.122893036931631e-12,1.948224645237209e-06,0.032378998351715926,0.17267318063404574
0,2,4,2,130,4.093698225915432e-05,1.115623895908892e-10,9.870514386681438e-06,1.1567089829711557,0.8748339765688945
0,2,4,2,140,4.2830128222703934e-05,1.9407894309519146e-10,2.8934604430106634e-06,2.0122628934983755,0.25645041446060446
